title,original_price,special_price,meta_score,meta_reviews,user_score,user_reviews,release_date,publisher,genre
Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants,49.95,33.46,54,15,5.1,11,23-04-2024,GameMill Entertainment,2D Beat-'Em-Up
MARSUPILAMI - HOOBADVENTURE,30.0,6.0,68,7,6.9,14,16-11-2021,Microids,2D Platformer
Sherlock Holmes: The Devil’s Daughter,45.95,9.19,71,28,6.8,204,25-10-2016,Bigben Interactive,Third-Person Adventure
Lacuna,30.0,3.0,86,6,7.3,39,20-05-2021,Assemble Entertainment,Adventure
The Jackbox Party Starter,29.99,14.99,,,,,30-06-2022,"Jackbox Games, Inc.",Party
"Mudness Offroad Car Simulator - 4x4 Racing Games Driving, Parking, Battle, Tuning 2022 SIM Kart",19.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACA NEOGEO NINJA COMBAT,10.5,5.25,,,,,31-05-2018,Hamster,2D Beat-'Em-Up
inbento,7.5,3.0,76,9,8.3,9,12-03-2020,7Levels,Stacking Puzzle
Wordify,3.9,1.95,,,0.3,7,07-08-2020,Hook Games,Logic Puzzle
Wolf Simulator: RPG Survival Animal Battle,14.9,1.5,,,,,15-06-2023,Midnight Works,Simulation
Monster Outbreak,21.95,19.75,,,,,03-10-2022,Freedom Games,Defense
SongPop Party,29.99,14.99,,,,,02-04-2021,Gameloft,Trivia
Syberia 3,69.95,5.59,51,34,5.7,188,05-09-2012,Big Fish Games,Third-Person Adventure
Raging Justice,17.99,3.59,61,10,6.0,6,08-05-2018,Team17,2D Beat-'Em-Up
All-Star Fruit Racing,30.0,2.25,63,11,3.3,12,21-08-2018,PQube,Auto Racing
Mana Spark Complete Edition,17.99,3.0,68,5,6.3,57,17-12-2018,QubicGames,Top-Down Shoot-'Em-Up
Crash Drive 3,25.0,1.5,68,7,7.6,5,08-07-2021,M2H,Auto Racing
Aquarium Land: Armadillo Edition,9.0,3.0,,,,,06-10-2023,QubicGames,Tycoon
Train Driver Simulator,21.99,2.99,,,,,21-11-2023,SC Ovilex Soft,Train Sim
Infantry Attack: Golden Edition,13.5,5.4,,,,,15-03-2024,QubicGames,FPS
Twilight Survivors,4.5,3.6,,,,,15-02-2024,DORIDORI STUDIO,Top-Down Shoot-'Em-Up
Please Fix The Road,13.49,10.49,80,7,,,10-06-2022,Ariel Jurkowski,Puzzle
Animal Buddies - Party Beasts,21.99,2.99,,,,,,COCO-GAMES,Party
Hentai World Magnificent Edition,24.75,2.99,,,7.0,4,24-02-2023,RedDeerGames,Puzzle
Summer and Winter Sports Games Bundle,64.99,19.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crazy Trucks,19.5,1.93,,,,,26-11-2021,Prison Games,Auto Racing
Mortal Kombat™ 1 Premium Edition,139.95,55.98,83,86,7.0,1151,19-09-2023,Warner Bros. Games,2D Fighting
Midnight Drifter-Drift Racing Car Driving Simulator 2023 Speed Games,7.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
911 Operator Deluxe Edition,34.99,3.49,68,8,6.7,76,24-02-2017,PlayWay,Strategy
Children of Morta,33.0,9.9,82,49,8.1,318,03-09-2019,Dead Mage,Action RPG
Warplanes: WW2 Dogfight,15.0,2.25,56,10,5.2,5,21-02-2019,Home Net Games,Aircraft Sim
Worms Rumble,17.95,3.59,70,14,6.5,31,01-12-2020,Team17,Real-Time Strategy
Paratopic,8.25,1.5,60,4,7.3,4,13-05-2022,Baltoro Games,First-Person Adventure
Pizza Bar Tycoon Ultimate Edition,10.5,1.5,,,,,25-10-2019,Baltoro Games,Tycoon
Baking Time: Complete Edition,10.5,4.2,,,,,03-05-2024,QubicGames,Tycoon
Cat Piano Deluxe Edition,9.75,2.99,,,,,19-04-2024,RedDeerGames,Rhythm
Golf Club Nostalgia / Aspire Ina’s Tale Bundle,34.5,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moonlighter,37.5,7.49,81,28,7.2,151,29-05-2018,11 bit studios,Action RPG
XIII,59.99,17.99,74,38,7.0,24,18-11-2003,Ubisoft,FPS
Unrailed!,26.95,6.73,77,7,7.5,28,23-09-2020,Daedalic Entertainment,Strategy
Crazy Stunt Driver: Extreme Racing Simulator,7.99,6.39,,,,,23-05-2024,Megame,Auto Racing
nGolf Extended Edition,34.5,2.99,,,,,11-01-2024,RedDeerGames,Golf
Restaurant Tycoon Simulator,7.5,3.0,,,,,24-05-2024,SimulaMaker,Tycoon
Arise + What Lies in the Multiverse Bundle,52.5,5.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flat Heroes,15.0,3.0,82,13,8.2,21,02-08-2018,Parallel Circles,2D Platformer
Quiplash 2 InterLASHional: The Say Anything Party Game!,12.75,5.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Truck Simulator USA,13.99,2.99,,,,,18-01-2017,Alexandru Marusac,Vehicle Sim
Tower of Babel - no mercy,14.99,2.99,70,5,,,21-02-2020,DNA Studios,Action Puzzle
Clone Drone in the Danger Zone,29.99,11.99,82,5,7.8,37,16-03-2017,Doborog Games,Action Adventure
Ultra Foodmess,6.0,3.0,61,5,,,05-08-2020,Silesia Games,Party
Raccoon Adventure: Animal City Simulator 3D Farm Super Deluxe Games,21.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Forest Quartet,14.99,3.74,71,7,7.6,9,08-12-2022,Bedtime Digital Games,Third-Person Adventure
Frog Detective: The Entire Mystery,29.95,20.96,79,5,8.8,4,26-10-2023,worm club,Compilation
Party Party Time 2,5.28,3.69,,,,,15-02-2024,SAT-BOX,Party
nPaint Superb Edition,31.5,2.99,,,,,10-02-2023,RedDeerGames,Application
The Cat,15.0,1.5,,,,,14-04-2024,ADW Games,2D Platformer
